hop,date,match_date,from,to,tournament,round,score,result,source,corrob,year,same_day,source_disagree,non_played,early_era
114,19710421,1971-04-21,Cliff Drysdale,John Alexander,Denver,RR,6-1,PLAYED,backbone,S+TML+DH+UTS,1971,TRUE,FALSE,FALSE,TRUE
115,19710421,1971-04-21,John Alexander,Ken Rosewall,Denver,RR,6-3,PLAYED,backbone,S+TML+DH+UTS,1971,TRUE,FALSE,FALSE,TRUE
116,19710428,1971-04-28,Ken Rosewall,John Newcombe,Chicago WCT,SF,7-6 7-5,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
117,19710503,1971-05-03,John Newcombe,Jan Kodes,Rome,QF,2-6 6-1 7-5,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
118,19710503,1971-05-03,Jan Kodes,Rod Laver,Rome,F,7-5 6-3 6-3,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
119,19710515,1971-05-15,Rod Laver,Marty Riessen,Tehran WCT,QF,6-4 6-4,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
120,19710521,1971-05-21,Marty Riessen,Frank Froehling,Roland Garros,R16,1-6 2-6 6-3 6-4 6-2,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
121,19710521,1971-05-21,Frank Froehling,Ilie Nastase,Roland Garros,SF,6-0 2-6 6-4 6-3,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
122,19710521,1971-05-21,Ilie Nastase,Jan Kodes,Roland Garros,F,8-6 6-2 2-6 7-5,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
123,19710614,1971-06-14,Jan Kodes,Buster C Mottram,Queen's Club,R64,6-2 6-3,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
124,19710614,1971-06-14,Buster C Mottram,Ross Case,Queen's Club,R16,6-4 7-5,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
125,19710614,1971-06-14,Ross Case,John Newcombe,Queen's Club,QF,6-2 9-8,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
126,19710614,1971-06-14,John Newcombe,Stan Smith,Queen's Club,F,8-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
127,19710621,1971-06-21,Stan Smith,John Newcombe,Wimbledon,F,6-3 5-7 2-6 6-4 6-4,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
128,19710717,1971-07-17,John Newcombe,Marty Riessen,Washington WCT,SF,4-6 6-3 7-6,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
129,19710717,1971-07-17,Marty Riessen,Ken Rosewall,Washington WCT,F,6-2 7-5 6-1,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
130,19710724,1971-07-24,Ken Rosewall,John Alexander,Louisville WCT,R16,7-5 7-5,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
131,19710724,1971-07-24,John Alexander,Tom Okker,Louisville WCT,QF,6-1 4-6 6-2,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
132,19710808,1971-08-08,Tom Okker,Cliff Drysdale,Boston WCT,QF,6-4 4-6 6-4,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
