date,match_date,from,to,tournament,score
20161003,2016-10-03,Alexander Zverev,David Ferrer,Beijing,6-7(4) 6-1 7-5
20161010,2016-10-10,David Ferrer,Feliciano Lopez,Shanghai Masters,7-6(3) 4-6 7-6(4)
20161010,2016-10-10,Feliciano Lopez,Jack Sock,Shanghai Masters,6-3 4-6 6-4
20161017,2016-10-17,Jack Sock,Juan Martin del Potro,Stockholm,7-5 6-1
20161024,2016-10-24,Juan Martin del Potro,Kei Nishikori,Basel,7-5 6-4
20161024,2016-10-24,Kei Nishikori,Marin Cilic,Basel,6-1 7-6(5)
20161031,2016-10-31,Marin Cilic,John Isner,Paris Masters,6-4 6-3
20170109,2017-01-09,John Isner,Steve Johnson,Auckland,6-3 5-7 7-6(3)
20170116,2017-01-16,Steve Johnson,Stan Wawrinka,Australian Open,6-3 6-4 6-4
20170227,2017-02-27,Stan Wawrinka,Damir Dzumhur,Dubai,7-6(4) 6-3
20170227,2017-02-27,Damir Dzumhur,Robin Haase,Dubai,6-2 4-6 6-4
20170306,2017-03-06,Robin Haase,Paolo Lorenzi,Indian Wells Masters,6-4 6-3
20170306,2017-03-06,Paolo Lorenzi,Stan Wawrinka,Indian Wells Masters,6-3 6-4
20170320,2017-03-20,Stan Wawrinka,Alexander Zverev,Miami Masters,4-6 6-2 6-1
20170320,2017-03-20,Alexander Zverev,Nick Kyrgios,Miami Masters,6-4 6-7(9) 6-3
20170320,2017-03-20,Nick Kyrgios,Roger Federer,Miami Masters,7-6(9) 6-7(9) 7-6(5)
20170612,2017-06-12,Roger Federer,Tommy Haas,Stuttgart,2-6 7-6(8) 6-4
20170619,2017-06-19,Tommy Haas,Bernard Tomic,Halle,6-4 6-4
20170619,2017-06-19,Bernard Tomic,Richard Gasquet,Halle,6-3 6-3
20170626,2017-06-26,Richard Gasquet,Gael Monfils,Eastbourne,6-2 6-7(7) 7-6(4)
20170626,2017-06-26,Gael Monfils,Novak Djokovic,Eastbourne,6-3 6-4
20170703,2017-07-03,Novak Djokovic,Tomas Berdych,Wimbledon,7-6(2) 2-0 RET
20170731,2017-07-31,Tomas Berdych,Thanasi Kokkinakis,Los Cabos,3-6 7-6(5) 6-4
20170828,2017-08-28,Thanasi Kokkinakis,Janko Tipsarevic,US Open,6-7(5) 3-6 6-1 7-6(2) 6-3
20190114,2019-01-14,Janko Tipsarevic,Grigor Dimitrov,Australian Open,4-6 6-3 6-1 6-4
20190318,2019-03-18,Grigor Dimitrov,Jordan Thompson,Miami Masters,7-5 7-5
20190318,2019-03-18,Jordan Thompson,Kevin Anderson,Miami Masters,7-5 7-5
20190318,2019-03-18,Kevin Anderson,Roger Federer,Miami Masters,6-0 6-4
20190506,2019-05-06,Roger Federer,Dominic Thiem,Madrid Masters,3-6 7-6(11) 6-4
20190506,2019-05-06,Dominic Thiem,Novak Djokovic,Madrid Masters,7-6(2) 7-6(4)
20190513,2019-05-13,Novak Djokovic,Rafael Nadal,Rome Masters,6-0 4-6 6-1
20190701,2019-07-01,Rafael Nadal,Roger Federer,Wimbledon,7-6(3) 1-6 6-3 6-4
20190812,2019-08-12,Roger Federer,Andrey Rublev,Cincinnati Masters,6-3 6-4
20190812,2019-08-12,Andrey Rublev,Daniil Medvedev,Cincinnati Masters,6-2 6-3
20190826,2019-08-26,Daniil Medvedev,Rafael Nadal,US Open,7-5 6-3 5-7 4-6 6-4
20191028,2019-10-28,Rafael Nadal,Denis Shapovalov,Paris Masters,W/O
20191028,2019-10-28,Denis Shapovalov,Novak Djokovic,Paris Masters,6-3 6-4
20191111,2019-11-11,Novak Djokovic,Dominic Thiem,Tour Finals,6-7(5) 6-3 7-6(5)
20191111,2019-11-11,Dominic Thiem,Matteo Berrettini,Tour Finals,7-6(3) 6-3
20191111,2019-11-11,Matteo Berrettini,Novak Djokovic,Tour Finals,6-2 6-1
20191111,2019-11-11,Novak Djokovic,Roger Federer,Tour Finals,6-4 6-3
20191111,2019-11-11,Roger Federer,Stefanos Tsitsipas,Tour Finals,6-3 6-4
20200106,2020-01-06,Stefanos Tsitsipas,Denis Shapovalov,Atp Cup,7-6(6) 7-6(4)
20200106,2020-01-06,Denis Shapovalov,Novak Djokovic,Atp Cup,4-6 6-1 7-6(4)
20200831,2020-08-31,Novak Djokovic,Pablo Carreno Busta,Us Open,6-5 DEF
20200914,2020-09-14,Pablo Carreno Busta,Rafael Nadal,Rome Masters,6-1 6-1
20201102,2020-11-02,Rafael Nadal,Alexander Zverev,Paris Masters,6-4 7-5
20201102,2020-11-02,Alexander Zverev,Daniil Medvedev,Paris Masters,5-7 6-4 6-1
20210208,2021-02-08,Daniil Medvedev,Novak Djokovic,Australian Open,7-5 6-2 6-2
20210412,2021-04-12,Novak Djokovic,Daniel Evans,Monte Carlo Masters,6-4 7-5
20210412,2021-04-12,Daniel Evans,Stefanos Tsitsipas,Monte Carlo Masters,6-2 6-1
20210419,2021-04-19,Stefanos Tsitsipas,Rafael Nadal,Barcelona,6-4 6-7(6) 7-5
20210503,2021-05-03,Rafael Nadal,Alexander Zverev,Madrid Masters,6-4 6-4
20210510,2021-05-10,Alexander Zverev,Rafael Nadal,Rome Masters,6-3 6-4
20210531,2021-05-31,Rafael Nadal,Novak Djokovic,Roland Garros,3-6 6-3 7-6(4) 6-2
20210724,2021-07-24,Novak Djokovic,Alexander Zverev,Tokyo Olympics,1-6 6-3 6-1
20210830,2021-08-30,Alexander Zverev,Novak Djokovic,Us Open,4-6 6-2 6-4 4-6 6-2
20211115,2021-11-15,Novak Djokovic,Alexander Zverev,Tour Finals,7-6(4) 4-6 6-3
20211115,2021-11-15,Alexander Zverev,Daniil Medvedev,Tour Finals,6-3 6-7(3) 7-6(6)
20220103,2022-01-03,Daniil Medvedev,Ugo Humbert,Atp Cup,6-7(5) 7-5 7-6(2)
20220117,2022-01-17,Ugo Humbert,Richard Gasquet,Australian Open,3-6 7-6(4) 7-6(3) 6-3
20220131,2022-01-31,Richard Gasquet,Mikael Ymer,Montpellier,7-5 6-7(6) 6-1
20220207,2022-02-07,Mikael Ymer,Lorenzo Musetti,Rotterdam,6-3 6-7(4) 6-3
20220221,2022-02-21,Lorenzo Musetti,Novak Djokovic,Dubai,6-3 6-3
20220411,2022-04-11,Novak Djokovic,Alejandro Davidovich Fokina,Monte Carlo Masters,6-3 6-7(5) 6-1
20220411,2022-04-11,Alejandro Davidovich Fokina,Stefanos Tsitsipas,Monte Carlo Masters,6-3 7-6(3)
20220418,2022-04-18,Stefanos Tsitsipas,Carlos Alcaraz,Barcelona,6-4 5-7 6-2
20220523,2022-05-23,Carlos Alcaraz,Alexander Zverev,Roland Garros,6-4 6-4 4-6 7-6(7)
20220523,2022-05-23,Alexander Zverev,Rafael Nadal,Roland Garros,7-6(8) 6-6 RET
20220627,2022-06-27,Rafael Nadal,Nick Kyrgios,Wimbledon,W/O
20220627,2022-06-27,Nick Kyrgios,Novak Djokovic,Wimbledon,4-6 6-3 6-4 7-6(3)
20220923,2022-09-23,Novak Djokovic,Felix Auger Aliassime,Laver Cup,6-3 7-6(3)
20220923,2022-09-23,Felix Auger Aliassime,Matteo Berrettini,Laver Cup,7-6(11) 4-6 [10-7]
20221010,2022-10-10,Matteo Berrettini,Roberto Carballes Baena,Florence,5-7 7-6(5) 7-5
20221017,2022-10-17,Roberto Carballes Baena,Matteo Berrettini,Naples,6-4 6-2
20230102,2023-01-02,Matteo Berrettini,Stefanos Tsitsipas,United Cup,4-6 7-6(2) 6-4
20230116,2023-01-16,Stefanos Tsitsipas,Novak Djokovic,Australian Open,6-3 7-6(4) 7-6(5)
20230227,2023-02-27,Novak Djokovic,Daniil Medvedev,Dubai,6-4 6-4
20230306,2023-03-06,Daniil Medvedev,Carlos Alcaraz,Indian Wells Masters,6-3 6-2
20230320,2023-03-20,Carlos Alcaraz,Jannik Sinner,Miami Masters,6-7(4) 6-4 6-2
20230410,2023-04-10,Jannik Sinner,Holger Rune,Monte Carlo Masters,1-6 7-5 7-5
20230424,2023-04-24,Holger Rune,Alejandro Davidovich Fokina,Madrid Masters,7-6(1) 5-7 7-6(5)
20230424,2023-04-24,Alejandro Davidovich Fokina,Borna Coric,Madrid Masters,6-7(5) 6-3 7-6(5)
20230424,2023-04-24,Borna Coric,Carlos Alcaraz,Madrid Masters,6-4 6-3
20230508,2023-05-08,Carlos Alcaraz,Fabian Marozsan,Rome Masters,6-3 7-6(4)
20230703,2023-07-03,Fabian Marozsan,David Goffin,Wimbledon,6-2 5-7 6-2 6-0
20231016,2023-10-16,David Goffin,Giovanni Mpetshi Perricard,Antwerp,7-5 6-3
20240527,2024-05-27,Giovanni Mpetshi Perricard,David Goffin,Roland Garros,4-6 6-4 6-3 6-7(4) 6-3
20240610,2024-06-10,David Goffin,Luca Nardi,s Hertogenbosch,7-5 7-5
20240610,2024-06-10,Luca Nardi,Sebastian Korda,s Hertogenbosch,7-5 7-5
20240617,2024-06-17,Sebastian Korda,Tommy Paul,Queen's Club,6-4 7-6(2)
20240701,2024-07-01,Tommy Paul,Carlos Alcaraz,Wimbledon,5-7 6-4 6-2 6-2
20240812,2024-08-12,Carlos Alcaraz,Gael Monfils,Cincinnati Masters,4-6 7-6(5) 6-4
20240812,2024-08-12,Gael Monfils,Holger Rune,Cincinnati Masters,3-6 6-3 6-4
20240826,2024-08-26,Holger Rune,Brandon Nakashima,Us Open,6-2 6-1 6-4
20240918,2024-09-18,Brandon Nakashima,Marin Cilic,Hangzhou,6-4 7-6(6)
20240925,2024-09-25,Marin Cilic,Kei Nishikori,Tokyo,6-4 3-6 6-3
20241002,2024-10-02,Kei Nishikori,Stefanos Tsitsipas,Shanghai Masters,7-6(6) 6-4
20241014,2024-10-14,Stefanos Tsitsipas,Jiri Lehecka,Antwerp,6-4 6-4
20241014,2024-10-14,Jiri Lehecka,Roberto Bautista Agut,Antwerp,7-5 6-1
20241021,2024-10-21,Roberto Bautista Agut,Denis Shapovalov,Basel,6-3 7-6(4)
20241021,2024-10-21,Denis Shapovalov,Giovanni Mpetshi Perricard,Basel,6-7(7) 6-3 7-6(3)
20241028,2024-10-28,Giovanni Mpetshi Perricard,Karen Khachanov,Paris Masters,6-7(12) 6-1 6-4
20241028,2024-10-28,Karen Khachanov,Ugo Humbert,Paris Masters,6-7(6) 6-4 6-3
